hallucination, cumulative_confidences, P_T_given_I_Q_Full, entropy_sum, cumulative_confidences2, P_T_given_I_Q_Full2, entropy_sum2 
False, [2.040794821939721e-07], 2.040794821939721e-07, 3.1422542134770487e-06,None, None, None
False, [3.558138654741722e-07], 3.558138654741722e-07, 5.281944710003176e-06,None, None, None
False, [2.8090685865461393e-07], 2.8090685865461393e-07, 4.2360396108165254e-06,None, None, None
False, [3.0430369512285085e-07], 3.0430369512285085e-07, 4.564649343806976e-06,None, None, None
False, [2.3162470873810666e-07], 2.3162470873810666e-07, 3.5372686291149127e-06,None, None, None
False, [2.333648705305472e-07], 2.333648705305472e-07, 3.562109143702376e-06,None, None, None
True, [1.82087109751843e-08], 1.82087109751843e-08, 3.227219612303237e-07,[1.9067831749705544e-08], 1.9067831749705544e-08, 3.371582002302933e-07
False, [2.727386298945729e-07], 2.727386298945729e-07, 4.120865249216427e-06,None, None, None
False, [2.3309956808386935e-07], 2.3309956808386935e-07, 3.5583228373752056e-06,None, None, None
False, [1.8726329464041327e-07], 1.8726329464041327e-07, 2.8992998471879476e-06,[2.086818664454564e-07], 2.086818664454564e-07, 3.208501156637257e-06
False, [2.4644877604512456e-07], 2.4644877604512456e-07, 3.748470486107117e-06,None, None, None
False, [1.8614886520279247e-07], 1.8614886520279247e-07, 2.883147009022034e-06,[1.7598089917808237e-07], 1.7598089917808237e-07, 2.7354563440074487e-06
False, [2.860593450921239e-07], 2.860593450921239e-07, 4.308568482333837e-06,None, None, None
True, [1.5274789425032026e-08], 1.5274789425032026e-08, 2.731016279034833e-07,[1.5261484512304948e-08], 1.5261484512304948e-08, 2.728753905374738e-07
False, [3.1924282772049795e-07], 3.1924282772049795e-07, 4.773519423888281e-06,None, None, None
False, [4.7082254005797706e-07], 4.7082254005797706e-07, 6.857855286174733e-06,None, None, None
False, [4.491289313707763e-07], 4.491289313707763e-07, 6.562987030967419e-06,None, None, None
True, [2.5228171543542555e-08], 2.5228171543542555e-08, 4.396250138997186e-07,[2.4472962315055673e-08], 2.4472962315055673e-08, 4.2715315027803756e-07
False, [6.731481345584853e-07], 6.731481345584853e-07, 9.564889237827411e-06,None, None, None
False, [3.894240432262249e-07], 3.894240432262249e-07, 5.745876657019152e-06,None, None, None
False, [2.2710544377585183e-07], 2.2710544377585183e-07, 3.4726955497990986e-06,None, None, None
False, [1.3845942525020066e-07], 1.3845942525020066e-07, 2.185067305775669e-06,[1.7100589210511104e-07], 1.7100589210511104e-07, 2.662981749405266e-06
False, [1.3969385114503686e-07], 1.3969385114503686e-07, 2.2033231846817747e-06,[1.7366711623506264e-07], 1.7366711623506264e-07, 2.701767513151293e-06
False, [1.3015039534164107e-07], 1.3015039534164107e-07, 2.0618937685625154e-06,[1.462271210700944e-07], 1.462271210700944e-07, 2.2997639455525945e-06
False, [4.2978343905158707e-07], 4.2978343905158707e-07, 6.299152507090611e-06,None, None, None
False, [1.3966257305380847e-07], 1.3966257305380847e-07, 2.20286074934812e-06,[1.557839919203413e-07], 1.557839919203413e-07, 2.4403147291889897e-06
True, [1.6277347461621153e-08], 1.6277347461621153e-08, 2.901163219333691e-07,[1.7322363979385592e-08], 1.7322363979385592e-08, 3.0778547287794003e-07
False, [4.7091528009584894e-07], 4.7091528009584894e-07, 6.859113666333565e-06,None, None, None
False, [1.3735590974900108e-07], 1.3735590974900108e-07, 2.1687381352946383e-06,[1.373168583202437e-07], 1.373168583202437e-07, 2.168160113201261e-06
False, [4.851853656535037e-07], 4.851853656535037e-07, 7.0525274971741025e-06,None, None, None
False, [5.72121463085548e-07], 5.72121463085548e-07, 8.222187614029959e-06,None, None, None
False, [2.1593954890047621e-07], 2.1593954890047621e-07, 3.3127630979112284e-06,None, None, None
False, [3.8436918536060813e-07], 3.8436918536060813e-07, 5.6762946484406065e-06,None, None, None
False, [3.635782785866266e-07], 3.635782785866266e-07, 5.389391017833522e-06,None, None, None
False, [2.9007808954045484e-07], 2.9007808954045484e-07, 4.36507372533947e-06,None, None, None
False, [1.6591250861236194e-07], 1.6591250861236194e-07, 2.588632591489365e-06,[1.5956137921218899e-07], 1.5956137921218899e-07, 2.495704080331663e-06
False, [4.190863318515564e-07], 4.190863318515564e-07, 6.152893427932663e-06,None, None, None
False, [2.972614208036044e-07], 2.972614208036044e-07, 4.465936139916018e-06,None, None, None
False, [2.5041616246451434e-07], 2.5041616246451434e-07, 3.8048411275510476e-06,None, None, None
False, [4.7144477654253694e-07], 4.7144477654253694e-07, 6.866298000076717e-06,None, None, None
